state,count
California,35
Florida,16
Michigan,15
Texas,13
New York,13
Washington,10
South Dakota,10
Massachusetts,8
North Carolina,7
Arizona,7
Virginia,6
Ohio,6
New Jersey,6
Oklahoma,5
Illinois,5
Hawaii,5
New Mexico,4
Minnesota,4
Pennsylvania,4
Colorado,4
Vermont,4
Louisiana,4
Rhode Island,4
Georgia,4
Tennessee,3
West Virginia,3
Iowa,3
Utah,3
Indiana,3
Unknown State,2
Kentucky,2
Alabama,2
Connecticut,2
Nebraska,2
Oregon,2
South Carolina,2
Missouri,2
Nevada,1
Kansas,1
Wisconsin,1
Mississippi,1
Arkansas,1
Maryland,1
